ENSG00000142609,12,C1orf222
ENSG00000233542,1,RP11-547D24.1
ENSG00000187730,6,GABRD
ENSG00000226969,1,RP11-547D24.3
ENSG00000067606,11,PRKCZ
ENSG00000182873,4,RP11-181G12.2
ENSG00000162585,11,C1orf86
ENSG00000203301,2,AL590822.1
ENSG00000243558,1,RP11-181G12.5
ENSG00000234396,2,RP11-181G12.4
ENSG00000157933,9,SKI
ENSG00000116151,8,MORN1
ENSG00000238240,1,RP4-740C4.5
ENSG00000178642,5,AL513477.1
ENSG00000157916,12,RER1
ENSG00000157911,5,PEX10
ENSG00000229813,1,RP4-740C4.4
ENSG00000149527,10,PLCH2
ENSG00000224387,1,RP3-395M20.2
ENSG00000229393,1,RP3-395M20.3
ENSG00000157881,8,PANK4
ENSG00000197921,5,HES5
ENSG00000238164,2,RP3-395M20.8
ENSG00000157873,11,TNFRSF14
ENSG00000225931,2,RP3-395M20.7
ENSG00000228037,1,RP3-395M20.9
ENSG00000157870,9,FAM213B
ENSG00000142606,10,MMEL1
ENSG00000237058,1,RP13-436F16.1
ENSG00000215912,6,TTC34
ENSG00000233234,1,RP11-740P5.2
ENSG00000231630,1,RP11-740P5.3
ENSG00000169717,4,ACTRT2
ENSG00000177133,5,RP1-163G9.1
ENSG00000256761,1,AL008733.1
ENSG00000142611,10,PRDM16
ENSG00000226286,1,RP1-163G9.2
ENSG00000130762,10,ARHGEF16
ENSG00000162591,10,MEGF6
ENSG00000207776,1,MIR551A
ENSG00000238260,1,RP11-46F15.2
ENSG00000158109,9,TPRG1L
ENSG00000116213,10,WRAP73
ENSG00000078900,9,TP73
ENSG00000227589,1,RP5-1092A11.5
ENSG00000235131,1,RP5-1092A11.2
ENSG00000227372,4,TP73-AS1
ENSG00000244553,1,RP5-1092A11.3
ENSG00000162592,3,CCDC27
ENSG00000235169,3,RP1-286D6.2
ENSG00000130764,5,LRRC47
ENSG00000116198,8,CEP104
ENSG00000169598,10,DFFB
ENSG00000198912,6,C1orf174
ENSG00000236423,1,RP13-15E13.1
ENSG00000233304,1,RP13-614K11.1
ENSG00000226374,1,RP13-614K11.2
ENSG00000229280,1,RP11-374C13.1
ENSG00000235054,1,RP5-1166F10.1
ENSG00000227169,1,RP1-37J18.1
ENSG00000232596,1,RP1-37J18.2
ENSG00000196581,5,AJAP1
ENSG00000231510,1,RP11-542C10.1
ENSG00000260972,1,RP1-58B11.1
ENSG00000236948,1,RP11-154H17.1
ENSG00000216045,1,MIR548W
ENSG00000131697,12,NPHP4
ENSG00000069424,8,KCNAB2
ENSG00000116254,11,CHD5
ENSG00000116251,5,RPL22
ENSG00000226944,1,RP1-120G22.11
ENSG00000158286,8,RNF207
ENSG00000116237,9,ICMT
ENSG00000225077,2,LINC00337
ENSG00000173673,7,HES3
ENSG00000158292,6,GPR153
ENSG00000097021,14,ACOT7
ENSG00000069812,7,HES2
ENSG00000187017,10,ESPN
ENSG00000231868,1,RP1-202O8.2
ENSG00000215788,5,TNFRSF25
ENSG00000171680,14,PLEKHG5
ENSG00000162408,10,NOL9
ENSG00000253022,1,U6
ENSG00000229519,1,RP11-58A11.2
ENSG00000173662,14,TAS1R1
ENSG00000204859,6,ZBTB48
ENSG00000162413,11,KLHL21
ENSG00000116273,5,PHF13
ENSG00000041988,10,THAP3
ENSG00000007923,11,DNAJC11
ENSG00000228750,1,RP11-242F24.1
ENSG00000239166,1,snoU13
ENSG00000237436,1,RP11-312B8.1
ENSG00000171735,12,CAMTA1
ENSG00000227950,1,RP11-312B8.2
